15:10:37 new steering: 165, stabilized steering: 91, difference: 74 
15:10:38 new steering: 159, stabilized steering: 92, difference: 67 
15:10:40 new steering: 158, stabilized steering: 97, difference: 61 
15:10:40 new steering: 78, stabilized steering: 96, difference: 18 
15:10:40 new steering: 151, stabilized steering: 101, difference: 50 
15:10:40 new steering: 116, stabilized steering: 106, difference: 10 
15:10:40 new steering: 150, stabilized steering: 111, difference: 39 
15:10:41 new steering: 126, stabilized steering: 116, difference: 10 
15:10:41 new steering: 109, stabilized steering: 111, difference: 2 
15:10:41 new steering: 138, stabilized steering: 116, difference: 22 
15:10:41 new steering: 128, stabilized steering: 121, difference: 7 
15:10:42 new steering: 80, stabilized steering: 116, difference: 36 
15:10:42 new steering: 80, stabilized steering: 111, difference: 31 
15:10:42 new steering: 101, stabilized steering: 106, difference: 5 
15:10:42 new steering: 147, stabilized steering: 111, difference: 36 
15:10:43 new steering: 102, stabilized steering: 106, difference: 4 
15:10:43 new steering: 112, stabilized steering: 111, difference: 1 
15:10:43 new steering: 141, stabilized steering: 116, difference: 25 
15:10:44 new steering: 72, stabilized steering: 111, difference: 39 
15:10:44 new steering: 91, stabilized steering: 106, difference: 15 
15:10:44 new steering: 85, stabilized steering: 101, difference: 16 
15:10:45 new steering: 104, stabilized steering: 104, difference: 0 
15:10:45 new steering: 150, stabilized steering: 109, difference: 41 
15:10:45 new steering: 73, stabilized steering: 104, difference: 31 
15:10:45 new steering: 113, stabilized steering: 109, difference: 4 
15:10:46 new steering: 135, stabilized steering: 114, difference: 21 
15:10:46 new steering: 123, stabilized steering: 119, difference: 4 
15:10:46 new steering: 130, stabilized steering: 124, difference: 6 
15:10:47 new steering: 143, stabilized steering: 129, difference: 14 
15:10:47 new steering: 118, stabilized steering: 124, difference: 6 
15:10:47 new steering: 143, stabilized steering: 129, difference: 14 
15:10:47 new steering: 114, stabilized steering: 124, difference: 10 
15:10:48 new steering: 136, stabilized steering: 129, difference: 7 
15:10:48 new steering: 107, stabilized steering: 124, difference: 17 
15:10:48 new steering: 130, stabilized steering: 129, difference: 1 
15:10:48 new steering: 89, stabilized steering: 124, difference: 35 
15:10:49 new steering: 90, stabilized steering: 119, difference: 29 
15:10:49 new steering: 108, stabilized steering: 114, difference: 6 
15:10:49 new steering: 77, stabilized steering: 109, difference: 32 
15:10:50 new steering: 72, stabilized steering: 104, difference: 32 
15:10:50 new steering: 84, stabilized steering: 99, difference: 15 
15:10:50 new steering: 114, stabilized steering: 104, difference: 10 
15:10:50 new steering: 102, stabilized steering: 102, difference: 0 
15:10:51 new steering: 90, stabilized steering: 97, difference: 7 
15:10:51 new steering: 134, stabilized steering: 102, difference: 32 
15:10:51 new steering: 127, stabilized steering: 107, difference: 20 
15:10:52 new steering: 82, stabilized steering: 102, difference: 20 
15:10:52 new steering: 133, stabilized steering: 107, difference: 26 
15:10:52 new steering: 118, stabilized steering: 112, difference: 6 
15:10:52 new steering: 135, stabilized steering: 117, difference: 18 
15:10:53 new steering: 122, stabilized steering: 122, difference: 0 
15:10:53 new steering: 115, stabilized steering: 117, difference: 2 
15:10:53 new steering: 115, stabilized steering: 115, difference: 0 
15:10:53 new steering: 88, stabilized steering: 110, difference: 22 
15:10:54 new steering: 144, stabilized steering: 115, difference: 29 
15:10:54 new steering: 133, stabilized steering: 120, difference: 13 
15:10:54 new steering: 142, stabilized steering: 125, difference: 17 
15:10:55 new steering: 124, stabilized steering: 124, difference: 0 
15:10:55 new steering: 105, stabilized steering: 119, difference: 14 
15:10:55 new steering: 96, stabilized steering: 114, difference: 18 
15:10:56 new steering: 143, stabilized steering: 119, difference: 24 
15:10:56 new steering: 106, stabilized steering: 114, difference: 8 
15:10:56 new steering: 145, stabilized steering: 119, difference: 26 
15:10:56 new steering: 146, stabilized steering: 124, difference: 22 
15:10:57 new steering: 68, stabilized steering: 119, difference: 51 
15:10:57 new steering: 84, stabilized steering: 114, difference: 30 
15:10:57 new steering: 138, stabilized steering: 119, difference: 19 
15:10:58 new steering: 136, stabilized steering: 124, difference: 12 
15:10:58 new steering: 103, stabilized steering: 119, difference: 16 
15:10:58 new steering: 102, stabilized steering: 114, difference: 12 
15:10:59 new steering: 112, stabilized steering: 112, difference: 0 
15:10:59 new steering: 101, stabilized steering: 107, difference: 6 
15:10:59 new steering: 111, stabilized steering: 111, difference: 0 
15:11:00 new steering: 128, stabilized steering: 116, difference: 12 
15:11:00 new steering: 84, stabilized steering: 111, difference: 27 
15:11:00 new steering: 111, stabilized steering: 111, difference: 0 
15:11:01 new steering: 82, stabilized steering: 106, difference: 24 
15:11:01 new steering: 128, stabilized steering: 111, difference: 17 
15:11:01 new steering: 117, stabilized steering: 116, difference: 1 
15:11:01 new steering: 131, stabilized steering: 121, difference: 10 
15:11:02 new steering: 117, stabilized steering: 117, difference: 0 
15:11:02 new steering: 92, stabilized steering: 112, difference: 20 
15:11:02 new steering: 114, stabilized steering: 114, difference: 0 
15:11:02 new steering: 142, stabilized steering: 119, difference: 23 
15:11:03 new steering: 149, stabilized steering: 124, difference: 25 
15:11:03 new steering: 116, stabilized steering: 119, difference: 3 
15:11:03 new steering: 113, stabilized steering: 114, difference: 1 
15:11:04 new steering: 113, stabilized steering: 113, difference: 0 
