15:24:14slope difference: 0.615569362501957815:24:14 new steering: 94, stabilized steering: 94, difference: 0 
15:24:14slope difference: 0.677534084173088415:24:14 new steering: 124, stabilized steering: 99, difference: 25 
15:24:15slope difference: 2.98214285714285715:24:15 new steering: 23, stabilized steering: 94, difference: 71 
15:24:16slope difference: 0.519098021168890915:24:16 new steering: 106, stabilized steering: 99, difference: 7 
15:24:16slope difference: 0.610733996115608715:24:16 new steering: 78, stabilized steering: 94, difference: 16 
15:24:17slope difference: 0.422299143742029515:24:17 new steering: 65, stabilized steering: 89, difference: 24 
15:24:17slope difference: 0.529266521423384215:24:17 new steering: 84, stabilized steering: 84, difference: 0 
15:24:18slope difference: 0.4152260195519565415:24:18 new steering: 41, stabilized steering: 79, difference: 38 
15:24:18slope difference: 0.4766707527115303715:24:18 new steering: 72, stabilized steering: 74, difference: 2 
15:24:19slope difference: 0.767617938264414615:24:19 new steering: 86, stabilized steering: 79, difference: 7 
15:24:19slope difference: 0.4731138686630431715:24:19 new steering: 100, stabilized steering: 84, difference: 16 
15:24:20slope difference: 0.406683588103395315:24:20 new steering: 97, stabilized steering: 89, difference: 8 
15:24:20slope difference: 0.4985977477671829615:24:20 new steering: 80, stabilized steering: 84, difference: 4 
15:24:20slope difference: 0.525342318445766715:24:20 new steering: 90, stabilized steering: 89, difference: 1 
15:24:21slope difference: 0.920374707259953115:24:21 new steering: 93, stabilized steering: 93, difference: 0 
15:24:21slope difference: 0.576455726319486515:24:21 new steering: 93, stabilized steering: 93, difference: 0 
15:24:22slope difference: 0.46818494674358215:24:22 new steering: 87, stabilized steering: 88, difference: 1 
15:24:22slope difference: 0.379498235407037715:24:22 new steering: 110, stabilized steering: 93, difference: 17 
